choice,response,requires,unlocks,notrequires,locks,startday,endday
"Evening, sir. New here?","What? Oh, yes. I'm Glanthor. Is it true that Constantine was murdered here? Sorry, I mean, it's not my place, but everyone's talking about it.",,GreetedGlanthor,,,2,
That's none of your business. Constantine was a friend of mine,"Oh, yes, sorry. I understand. Just interested, is all.",GreetedGlanthor,,GreetedGlanthor,,2,
"It's true, yes. Did you know him?",Never met him. But I know someone who did.,GreetedGlanthor,GlanthorKnowsTrent,,,2,
"Who is it, exactly, that knew Constantine?","I've, uh, said too much. It's not my business, really. ",GlanthorKnowsTrent,GlanthorWontTell,,,2,
"Please, tell me, Constantine was a friend of mine","Are you sure? I guess it's alright. It's Trent. He's my neighbor, and he works at the same bank as Constantine. Constantine is his boss.",GlanthorWontTell,TrentAtBank,,,2,
Trent hasn't been in today. He usually comes by.,I see. Do you think he'll come later?,TrentAtBank,TrentNotHere,,,2,
I'm not sure,,TrentNotHere,,,,2,
Why? Can't you just speak with him at home?,"Oh, no, no. I don't want to speak with him. I just want to... nevermind, I shouldn't have come here.",TrentNotHere,GlanthorWatchingTrent,,,2,
"Alright, then",,GlanthorWatchingTrent,,,,2,
"I'm a good listener, you can talk to me.","*sigh* Fine, I came to keep an eye on him. I know he comes here a lot. It's probably nothing, but I thought... maybe he had something to do with Constantine.",GlanthorWatchingTrent,GlanthorSuspicious,,,2,
Why would you think that?,"Well, you know he was Trent's boss. Trent really didn't like him. Trent said he was always sitting around while everyone else worked themselves to death for half the money. I'm sorry, I know he was your friend. That's just how Trent talked.",GlanthorSuspicious,TrentHatedConst,,,2,
He talked like this often?,"I mean, I didn't talk to him often, but when I did, he was complaining about Constantine. One night, I ran into him while he was drunk. He said he wished Constantine would just go away so he could have the manager position.","TrentHatedConst, GlanthorDrunk",TrentDrunkHate,,,2,
He talked like this often?,"I didn't really see him too much, so I'm not sure.",TrentHatedConst,GlanthorDayOne,,,2,
Wow... I didn't know that. Thank you for telling me.,"I don't know, maybe I'm just being paranoid. But I felt bad doing nothing.",TrentHatedConst,GlanthorDayOne,,,2,
"Well, that's certainly interesting.","I know it's just words, but I'm worried. ",TrentDrunkHate,GlanthorDone,,,2,
"Your information has really helped, Glanthor. Want anything else to drink?",No thanks.,GlanthorDone,,,,,
